brand_name,parent_company_name,id,validated,submission_type,submission_id,year,item_description,type_product,type_material,layer,name_of_lead,is_trained,organization,volunteer,start_of_audit,end_of_audit,time_spent,city,province,country,continent,type_of_audit,specifics_of_audit,event_total_count,event_id,longitude_most_specific,latitude_most_specific,location_specificity,total_count,proportion
heineken,l’arche green,q28861110,true,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,7,0.00651769087523278
hershey's,the hershey company,q1056637,true,123Forms Old,268,2019,candy wrapper,food packaging,o,multi-layer,531,null,268,9,2019-11-01,2019-11-01,2,new york,"",united states of america,north america,outdoor,inland,15,123Forms Old_268_2019,-74.0060152,40.7127281,city,7,0.466666666666667
hershey's,the hershey company,q1056637,true,Excel Template 2020,10,2021,chocolate wrappers,food packaging,pp,single-layer,71,no,258,12,2021-04-14,2021-04-24,2,bronx,new york,united states of america,north america,outdoor,coastal,905,Excel Template 2020_10_2021,-73.8785937,40.8466508,city,4,0.00441988950276243
jelly candy,jelly candy,jelly candy,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
jolly rancher,the hershey company,q1056637,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
jull,jull,jull,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
kellogg,kellogg's,q856897,true,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
kellogg,kellogg's,q856897,true,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
ketchup chefâ€™s quality,ketchup chefâ€™s quality,ketchup chefâ€™s quality,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,6,0.00558659217877095
kind,kind snacks,q6330925,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,3,0.00279329608938548
kind,kind snacks,q6330925,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,2,0.00186219739292365
kirkland,costco,q715583,true,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
kirkland,costco,q715583,true,Excel Template Old,220,2018,null,null,pet,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,4,0.0037243947858473
little debbie,mckee foods,q6801733,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
