city,province,country,continent,latitude_specific,longitude_specific,latitude_country,longitude_country,latitude_state,longitude_state
berkeley,california,united states of america,north america,37.8708393,-122.272863,39.7837304,-100.445882,36.7014631,-118.755997
banting,selangor,malaysia,asia,,,4.5693754,102.2656823,3.2083304,101.304146
two harbors catalina,ca,united states of america,north america,,,39.7837304,-100.445882,36.7014631,-118.755997
astoria,ny,united states of america,north america,40.7720145,-73.9302673,39.7837304,-100.445882,43.1561681,-75.8449946
kaizuka,osaka,japan,asia,34.432856,135.360043,36.5748441,139.2394179,34.661629,135.499926792455
tucson,az,united states of america,north america,32.2228765,-110.9748477,39.7837304,-100.445882,34.395342,-111.763275
stateline,nv,united states of america,north america,38.9667745,-119.944274581591,39.7837304,-100.445882,39.5158825,-116.8537227
lafayette,louisiana,united states of america,north america,30.2043259,-92.0298813,39.7837304,-100.445882,30.8703881,-92.007126
washington,district of columbia,united states of america,north america,38.8950368,-77.0365427,39.7837304,-100.445882,38.89384735,-76.9880428191095
hua hin,"",thailand,asia,12.5699326,99.9573437,14.8971921,100.83273,14.8971921,100.83273
kodiang,kedah,malaysia,asia,6.394604,100.3041483,4.5693754,102.2656823,5.8098265,100.6715035
bukit ayer,perlis,malaysia,asia,,,4.5693754,102.2656823,6.4868392,100.2577623
miami,florida,united states of america,north america,25.7741728,-80.19362,39.7837304,-100.445882,27.7567667,-81.4639835
mooloolaba,"sunshine coast, queensland",australia,oceania,-26.6852565,153.113184866593,-24.7761086,134.755,,
scarborough perth,wa,australia,oceania,,,-24.7761086,134.755,-25.2303005,121.0187246
kerkennah,grimdi island,tunisia,africa,,,33.8439408,9.400138,,
tunis,carthage,tunisia,africa,,,33.8439408,9.400138,,
4/23/2022,bali,indonesia,asia,,,-2.4833826,117.8902853,-8.3304977,115.0906401
pattaya,chonburi,thailand,asia,12.9366674,100.8864587,14.8971921,100.83273,13.1857117,101.1210777
thasala,nakornsrithammarat,thailand,asia,,,14.8971921,100.83273,,
diani,"kwale county, coast region",kenya,africa,,,1.4419683,38.4313975,,
davao,davao del sur,philippines,asia,,,12.7503486,122.7312101,6.6983658,125.3612135
fort collins,colorado,united states of america,north america,40.5508527,-105.0668085,39.7837304,-100.445882,38.7251776,-105.607716
brownsville,tx,united states of america,north america,25.9140277,-97.4890879,39.7837304,-100.445882,31.2638905,-98.5456116
plateau,plateau,nigeria,africa,,,9.6000359,7.9999721,9.0583446,9.6826289
darjeeling,west bengal,india,asia,27.0377554,88.263176,22.3511148,78.6677428,22.9964948,87.6855882
ghar el mehl,bizerte,tunisia,africa,,,33.8439408,9.400138,37.03543385,9.63932586146198
durban,kwazulu-natal,south africa,africa,-29.861825,31.009909,-28.8166236,24.991639,-28.503833,30.8875009
mbezi beach,"",tanzania,africa,,,-6.5247123,35.7878438,-6.5247123,35.7878438
