Column,brand_name,name,new_name,id,sum
176,7 select,Seven & I Holdings Co.,seven & i holdings co.,Q639447,2
177,7 tea,Umbulan Tirta Makmur Sentosa Jaya,umbulan tirta makmur sentosa jaya,,5
178,7 up,JAB Holding Company,jab holding company,Q1691896,3
179,7 up,Pepsi - PepsiCo/SPBT,pepsi - pepsico/spbt,,2
180,7 up,PepsiCo,pepsico,Q334800,27
181,7 up (mineral water),PepsiCo,pepsico,Q334800,1
182,7 up soda,emsula,emsula,,1
183,7/11,7-Eleven,7-eleven,Q259340,2
184,7/eleven,Reitan AS,reitan as,Q3357065,1
185,70 fiber one,General Mills,general mills,Q629998,1
186,711,Seven & I Holdings Co.,seven & i holdings co.,Q639447,9
187,747,747,747,,1
188,76,Phillips 66,phillips 66,Q1656230,1
189,7ana,7ana,7ana,,1
190,7days,7Days,7days,,3
191,7days,Chipita,chipita,,1
192,7tea attack rinso cimory squeeze panda extra joss sunlight nissin stick kapal api mr. bread koko krunch kecap abc  leonett insto luwak white coffee oops pop ice mie sedap pop mie ultra milk frishin flag komo alfamart sari roti top coffe kuku bima rexona i,7tea attack rinso cimory squeeze panda extra joss sunlight nissin stick kapal api mr. bread koko krunch kecap abc  leonett insto luwak white coffee oops pop ice mie sedap pop mie ultra milk frishin flag komo alfamart sari roti top coffe kuku bima rexona i,other brand,,244
193,7up,PepsiCo,pepsico,,1
194,7up,PepsiCo,pepsico,Q334800,1764
195,7up nigeria ltd,PepsiCo,pepsico,Q334800,38
196,"7up,","7up,",7-up,,2
197,8'o clock iced tea,The Coca-Cola Company,the coca-cola company,Q3295867,2
198,805,Duvel Moortgat Brewery,duvel moortgat brewery,Q387897,9
199,805 beer,805 Beer,805 beer,,1
200,86,86,86,,4
201,888 the tarik,888 the tarik,888 the tarik,,13
202,888 white coffee,888 white coffee,888 white coffee,,1
203,8pm whisky,Radico Khaitan,radico khaitan,Q17077257,325
204,9 de oro,9 De Oro,9 de oro,,2
205,9 de oro,Molino Cañuelas,molino cañuelas,,19
206,9 round,9 Round,9 round,,1
207,99,Sazerac Company,sazerac company,Q7429410,4
208,99 brand,Sazerac Company,sazerac company,Q7429410,1
209,99 cent store,99 Cent Store,99 cent store,,0
210,99 proof,99 proof,99 proof,,1
211,99cent,99cent,99cent,,2
212,99cents only store,Number Holdings Inc,number holdings inc,,1
213,a-mild,Altria,altria,Q445007,1
214,a-z,A-Z,a-z,Q4646960,70
215,å–”å–”/wowo,Wowo,wowo,,1
216,ã–lz,Ã–Lz,ã–lz,,1
217,å–œå¤šå¤š/xiduoduo,Xiduoduo,xiduoduo,,2
218,å–œä¹‹éƒž/strongfood,Strongfood,strongfood,,12
219,a & j,a & j,a & j,,1
220,a chau,a chau,a chau,,4
221,a k foods,Ak Foods Vellore,ak foods vellore,,1
222,a mild,A Mild,a mild,,0
223,a mild cigarette box,A Mild Cigarette Box,a mild cigarette box,,3
224,a r dudh,A R Dudh Khamar,a r dudh khamar,,2
225,a satu,Karya Bina Sentausa Malang,karya bina sentausa malang,,2
226,a satu cigarette box,A Satu Cigarette Box,a satu cigarette box,,4
227,å umi,Å Umi,å umi,,5
228,å umi,Å½Ito Prehrambena Industrija D.O.O.,å½ito prehrambena industrija d.o.o.,,1
229,a&w,The Coca-Cola Company,the coca-cola company,Q3295867,1
230,a&w,Yum! Brands,yum! brands,Q668737,23
231,a. le coq,Olvi,olvi,Q4045735,1
232,a. m masale,aum gruha udyog,aum gruha udyog,,1
233,åˆ˜å…°å±±ç™½é…’/liulanshan,Liulanshan,liulanshan,,17
234,åˆ©ç¾¤é¦™çƒÿ/liqun,Liqun,liqun,,4
235,åˆ©ç¾¤é¦™çƒÿ/liqun cigarette,Liqun Cigarette,liqun cigarette,,9
236,åˆ©ç™¾å®¶/libaijia,Libaijia,li bai jia,,1
237,ã_x0081_â§âºãšã£ãºã‚â§â©/sunday,Sunday,sunday,,1
238,å¡‘æ–™è¢‹/plastic beg,Plastic Beg,plastic beg,,23
239,å¦™èš™é…¸å¥¶/miao fu,Miao Fu,miao fu,,1
240,å¨çœ›å…ˆç”ÿ/mr muscle,Mr Muscle,mr muscle,Q6929437,1
241,å¨ƒå“ˆå“ˆ/wahaha,Hangzhou Wahaha Group,hangzhou wahaha group,Q1071849,45
242,å¨ƒä¹³/waru,Waru,waru,,1
243,å´‚å±±çÿ¿æ³‰æ°´/laoshan,Laoshan,laoshan,,1
