brand_name,parent_company_name,id,link,country,sum,validated
water bottle,"acme, aqua, podä›bradka",Q11325967,https://www.wikidata.org/wiki/Q11325967,"Czech Republic, Czech Republic, Bangladesh, Indonesia",25,FALSE
snapple,jab holding company,Q1691896,https://www.wikidata.org/wiki/Q1691896,"United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America",25,FALSE
siip,kaldu sari nabati,Q19727082,https://www.wikidata.org/wiki/Q19727082,"Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Australia",25,FALSE
pampres,procter & gamble,Q212405,https://www.wikidata.org/wiki/Q212405,Indonesia,25,FALSE
nutri sari,nutrifood,Q31174144,https://www.wikidata.org/wiki/Q31174144,"Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia",25,FALSE
nutriboost,the coca-cola company,Q3295867,https://www.wikidata.org/wiki/Q3295867,"Indonesia, Indonesia, Vietnam, Vietnam, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Philippines, Philippines, Indonesia, Thailand, Thailand, Thailand, Indonesia",25,FALSE
twister,"pepsico, tropicana, twister, unilever",Q334800Q157062,https://www.wikidata.org/wiki/Q334800Q157062,"Malaysia, Switzerland, Denmark, Switzerland, Latvia, Lithuania, Indonesia, Malaysia, Malaysia, Vietnam, Denmark, United States of America, Switzerland, United States of America, United States of America",25,FALSE
members mark,walmart,Q483551,https://www.wikidata.org/wiki/Q483551,"United States of America, United States of America, Mexico, Mexico, Mexico, Mexico, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America",25,FALSE
pledge,s. c. johnson & son,Q683170,https://www.wikidata.org/wiki/Q683170,"Indonesia, United States of America, Philippines",25,FALSE
costco,costco,Q715583,https://www.wikidata.org/wiki/Q715583,"United States of America, United Kingdom of Great Britain & Northern Ireland, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America",25,FALSE
viking,british american tobacco,Q856411,https://www.wikidata.org/wiki/Q856411,"Denmark, Denmark, Denmark, Denmark, Denmark",25,FALSE
big bom,"‎c.i dulces la americana s.a, sayona",,,"Tanzania, Denmark, Tanzania",25,FALSE
caffe latte,emmi,,,"Switzerland, Switzerland",25,FALSE
cheval,cheval,,,Burkina Faso,25,FALSE
fanmilk,fan milk,,,Burkina Faso,25,FALSE
fishda,liwayway holdings company limited,,,"Philippines, Philippines, Philippines, Philippines",25,FALSE
food packing,food packing,,,Montenegro,25,FALSE
fruit & nut cookies,well food morning fresh,,,"Bangladesh, Bangladesh",25,FALSE
geo,roberta prima tobacco,,,Indonesia,25,FALSE
grpl,grpl,,,Burkina Faso,25,FALSE
haoliyou,hao li you food co. ltd,,,China,25,FALSE
herdez,megamex foods,,,Mexico,25,FALSE
jambo energy drink,jambo group companies,,,Tanzania,25,FALSE
jambo juice,jambo group companies,,,Tanzania,25,FALSE
jedi jedi,jedi jedi,,,Nigeria,25,FALSE
jiggies,jiggies,,,Zambia,25,FALSE
"kitkat, nabati, tolak angin, beng beng, kopiko, momogi, relaxa, garuda ting ting, chocolatos, ultra milk, rhoma kelapa, jarum sugar, tamarin, panda, good day, antimo","kitkat, nabati, tolak angin, beng beng, kopiko, momogi, relaxa, garuda ting ting, chocolatos, ultra milk, rhoma kelapa, jarum sugar, tamarin, panda, good day, antimo",,,Indonesia,25,FALSE
la-doo table water,la-doo table water,,,Nigeria,25,FALSE
la cafe,"la cafe, la cafe",,,"Ukraine, Ukraine",25,FALSE
mahou,"mahou, mahou, mahou san miguel",,,"Spain, Spain, Spain",25,FALSE
mesopad,mesopad,,,Nigeria,25,FALSE
michelle laboratories ltd,michelle laboratories limited,,,Nigeria,25,FALSE
minsk,"belarus minsk, grodno tobacco factory neman, minsk",,,"Latvia, Lithuania, Lithuania, Switzerland",25,FALSE
nestrogen,nestrogen,,,Philippines,25,FALSE
pain master,brew master limited,,,Tanzania,25,FALSE
pocari,pocari,,,"Indonesia, Philippines",25,FALSE
ranchitas,yummie co.,,,"Honduras, Honduras, Honduras, Honduras",25,FALSE
rokada,rokada,,,India,25,FALSE
sandal,sandal,,,"Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia",25,FALSE
sasas,"regal international snack food corp, w.l. food products, wl foods",,,"Philippines, Philippines, Philippines",25,FALSE
tacos,"tacos, yummie co.",,,"Honduras, Morocco",25,FALSE
tamaqua,t.u.m enterprise ltd,,,Kenya,25,FALSE
tito youghurt,tito youghurt,,,Nigeria,25,FALSE
smiths pepsico,pepsico,Q334800,https://www.wikidata.org/wiki/Q334800,Australia,24,TRUE
face mask,unbranded,,,"Czech Republic, Nigeria, Bangladesh, Indonesia, Indonesia, Kenya, Philippines",24,TRUE
veja,reckitt,Q1190881,https://www.wikidata.org/wiki/Q1190881,"Brazil, Brazil, Brazil",24,FALSE
моршинська,ids group,Q12071257,https://www.wikidata.org/wiki/Q12071257,"Ukraine, Ukraine, Ukraine",24,FALSE
tortilla,dua kelinci,Q12482004,https://www.wikidata.org/wiki/Q12482004,"Indonesia, Indonesia",24,FALSE
comfort,unilever,Q157062,https://www.wikidata.org/wiki/Q157062,"United Kingdom of Great Britain & Northern Ireland, Vietnam, Vietnam, Vietnam, Thailand, Thailand, India, India, India, United Kingdom of Great Britain & Northern Ireland, Thailand, Thailand, Thailand, Thailand",24,FALSE
lifeboy,unilever,Q157062,https://www.wikidata.org/wiki/Q157062,"Indonesia, Indonesia, Indonesia",24,FALSE
hot tomato sauce,pran-rfl group,Q16743607,https://www.wikidata.org/wiki/Q16743607,Bangladesh,24,FALSE
gumovã© bonbony,haribo,Q169552,https://www.wikidata.org/wiki/Q169552,Czech Republic,24,FALSE
