brand_name,parent_company_name,id,validated,brand_total_count,brand_frequency
8 oz glass bottle,unbranded,unbranded,true,1,1
8 oz unknown plastic,unbranded,unbranded,true,1,1
8'o clock iced tea,the coca-cola company,q3295867,false,2,1
805,duvel moortgat brewery,q387897,false,9,2
805 beer,805 beer,805 beer,false,1,1
86,unbranded,unbranded,false,4,1
88 vape,88 vape,88 vape,false,1,1
888 the tarik,888 the tarik,888 the tarik,false,13,1
888 white coffee,888 white coffee,888 white coffee,false,1,1
8pm whisky,radico khaitan,q17077257,true,325,1
9 de oro,"9 de oro, molino cañuelas","9 de oro, molino cañuelas",false,32,6
9 round,9 round,9 round,false,1,1
911,hart,hart,false,1,1
99,sazerac company,q7429410,false,4,1
99 brand,sazerac company,q7429410,false,2,2
99 proof,99 proof,99 proof,false,1,1
99 speedmart,99 speedmart,99 speedmart,false,1,1
999/cr sanjiu,999 cr sanjiu,999 cr sanjiu,false,1,1
99cent,99cent,99cent,false,2,1
99cents only store,number holdings inc,number holdings inc,false,1,1
?,suntory,suntory,false,103,25
a  c,agrocentro,agrocentro,false,2,1
a & j,a & j,a & j,false,1,1
a (clear) plastic bottle,a (clear) plastic bottle,a (clear) plastic bottle,false,2,1
a bonne,a plus supply,a plus supply,false,1,1
a chau,a chau,a chau,false,4,1
a cup of cheese,unbranded,unbranded,true,1,1
a k foods,ak foods vellore,ak foods vellore,false,1,1
a mild,a mild,a mild,false,2,2
a mild cigarette box,a mild cigarette box,a mild cigarette box,false,3,1
a one milk,a one milk products private limited,a one milk products private limited,false,2,1
a r dudh,a r dudh khamar,a r dudh khamar,false,2,1
a satu,karya bina sentausa malang,karya bina sentausa malang,false,3,2
a satu cigarette box,a satu cigarette box,a satu cigarette box,false,4,1
a z z,a z z,a z z,false,13,1
a&c,a&c,a&c,false,3,1
a&w,"the coca-cola company, yum! brands",q3295867q668737,false,35,17
a+,a+,a+,false,2,1
a-1 sportswear,a1 sports,a1 sports,false,1,1
a-14,cooperativa arrocera de san salvador ltda,cooperativa arrocera de san salvador ltda,false,1,1
a-mild,altria,q445007,false,1,1
a-mount,a-mount,a-mount,false,1,1
a-z,a-z,q4646960,false,70,1
a. le coq,olvi,q4045735,false,1,1
a. m masale,aum gruha udyog,aum gruha udyog,false,1,1
a1,"a1, amway","a1, amway",false,1,1
a2 green tea,a2 green tea,a2 green tea,false,1,1
a2b,adyar anand bhavan sweets and snacks,adyar anand bhavan sweets and snacks,false,2,2
a3 fresh o2,cv karunia jaya,cv karunia jaya,false,1,1
aa pharmacy,aa pharmacy,aa pharmacy,false,1,1
aachi,"aachi, aachi group","aachi, aachi group",false,136,6
aafi,aafi,aafi,false,2,1
aah,nabati group,q19727082,false,2,1
aai mata,aai mata farsan and wafers,aai mata farsan and wafers,false,1,1
aaiga masale,aaiga masale & food product,aaiga masale & food product,false,1,1
aamras  paper boat,hector beverages,hector beverages,false,3,1
aan,unbranded,unbranded,true,1,1
aanandham,unbranded,unbranded,true,2,1
aanchal dahi,aanchal dairy products,aanchal dairy products,false,9,1
aarey,sheetal arch,sheetal arch,false,1,1
aareymilk,aareymilk,aareymilk,false,2,1
aarstiderne,aarstiderne aps,aarstiderne aps,false,1,1
aashirvaad,itc,itc,false,2,1
aashirvaad atta,itc limited,q1655008,true,138,2
aashirvaad salt,itc,itc,false,1,1
aavin,tamil nadu co-operative milk producers' federation ltd,tamil nadu co-operative milk producers' federation ltd,false,19,1
ab,ab,q11683986,false,2,2
ab (harpin food ingre corp.ltd.),ab (harpin food ingre corp.ltd.),ab (harpin food ingre corp.ltd.),false,1,1
abangku hari-hari,abangku hari-hari,abangku hari-hari,false,1,1
abant,abant,abant,false,9,2
abant su,"abant su, abant su","abant su, abant su",false,6,2
abbott,abbott laboratories,q306764,false,10,2
abbott grow gold,abbott grow gold,abbott grow gold,false,2,1
abbott nutrition,abbott laboratories,q306764,false,1,1
abc,berkshire hathaway,q217583,true,183,37
abc alkaline,intercallin,intercallin,false,1,1
abc baterai  baterai hp lem uhu baterai energizer,abc baterai  baterai hp lem uhu baterai energizer,abc baterai  baterai hp lem uhu baterai energizer,false,5,1
abc chocomalt coffee,santos jaya abadi,santos jaya abadi,false,1,1
abc coffe,q12512104,q12512104,false,1,1
abc jus,abc,abc,false,1,1
abc kecap,abc kecap,abc kecap,false,4,2
abc kecup tomat,abc,abc,false,1,1
abc kopi,q12512104,q12512104,false,22,5
abc kopi mocca,santos jaya abadi,santos jaya abadi,false,1,1
abc kopi susu,q12512104,q12512104,true,18,9
abc minuman sari kacang hijau 250ml,kraft heinz,kraft heinz,false,1,1
abc mocca,q12512104,q12512104,false,51,6
abc mocha,pt santos jaya abadi,pt santos jaya abadi,false,1,1
abc plus,"abc, abc plus, santos jaya abadi sidoarjo","abc, abc plus, santos jaya abadi sidoarjo",false,14,5
abc sambal,abc,abc,false,17,4
abc sambal asli,heinz abc,heinz abc,false,3,1
abc sambal terasi,ikafood putramas bandung,ikafood putramas bandung,false,1,1
abc sir,belje,belje,false,6,2
abc soy sauce,abc,abc,false,61,1
abc squash,abc,abc,false,1,1
abc susu,santos jaya abadi,santos jaya abadi,false,4,1
abc terasi,abc,abc,false,2,1
abc trasi udang,abc,abc,false,1,1
abedul,good food s.a.,good food s.a.,false,1,1
abelen,unbranded,unbranded,true,1,1
abena,abena a/s,abena a/s,false,3,3
abhijaya,abhijaya,abhijaya,false,1,1
abi fresh,abi fresh,abi fresh,false,2,1
abinbev,anheuser-busch inbev,q128738,false,17,3
abk,abk confectionary company,abk confectionary company,false,1,1
aboniki balm,aboniki balm,aboniki balm,false,1,1
abraaj,abraaj,abraaj,false,21,1
abraaj,new technology bottling company,new technology bottling company,false,27,2
abraj,abraj,abraj,false,9,2
abril,unbranded,unbranded,true,1,1
abru,werner access products,werner access products,false,1,1
absolut,local kerala or india brand,local kerala or india brand,false,1,1
absolut vodka,pernod ricard,q837049,false,4,4
absoluta,unbranded,unbranded,false,1,1
absolute,"absolute manufacturing, asia brewery inc., unspecified","absolute manufacturing, asia brewery inc., unspecified",false,94,19
absolute asia,absolute asia,absolute asia,false,11,1
absolute drinking water,unspecified,unspecified,false,1,1
absopure,"absopure, arthur and belle porteus","absopure, arthur and belle porteus",false,2,2
absopure water,arthur and belle porteus,arthur and belle porteus,false,2,1
absperrrband,unbranded,unbranded,true,2,1
abtal,valencia,valencia,false,5,1
abu garcia,black wax,black wax,false,1,1
abyar,abyar,abyar,false,12,2
ac food,acefood,acefood,false,1,1
acadia,"acadia, waud capital partners","acadia, waud capital partners",false,19,8
acadia water,ahold delhaize,q20539261,false,5,1
acapulcoco,acapulcoco,acapulcoco,false,1,1
accel gel,accel gel,accel gel,false,1,1
acdelco,acdelco,q288170,false,3,3
ace,procter & gamble,q212405,false,93,16
ace (nicotine pouches),smokey dk aps,smokey dk aps,false,1,1
ace bandage,procter & gamble,q212405,false,1,1
ace brands,ace brands,ace brands,false,1,1
ace candeggina,fater,q48803503,false,4,1
ace candeggina p&g,ace candeggina p&g,ace candeggina p&g,false,2,1
ace cook,ace cook,ace cook,false,2,1
ace crackers,republic biscuit corporation,q7314390,false,2,2
ace hardware,ace hardware corporation,ace hardware corporation,false,3,3
acecook,acecook,q11291550,false,29,7
aceite hacendado,sovena,sovena,false,1,1
acetaminophen,mcniel consumer healthcare,mcniel consumer healthcare,false,2,2
aceto balsamico,coop,coop,false,1,1
acetylaystein,cty cp dp cá»­u long,cty cp dp cá»­u long,false,1,1
achote,paige six (6),paige six (6),false,1,1
achoura (prc),achoura (prc),achoura (prc),false,1,1
acivag,acivag,acivag,false,1,1
acive sparkle,simple life trading co ltd,simple life trading co ltd,false,10,1
ack,ack group,ack group,false,2,2
ack cups,ack food bali,ack food bali,false,6,1
